indelsubtype	HAP1_CHK2_56	HAP1_CHK2_56-10	HAP1_CHK2_56-11	HAP1_CHK2_56-12	HAP1_CHK2_56-3	HAP1_CHK2_56-7	HAP1_CHK2_56-8	HAP1_CHK2_56-9	HAP1_EXO1_40	HAP1_EXO1_40-1	HAP1_EXO1_40-10	HAP1_EXO1_40-12	HAP1_EXO1_40-2	HAP1_EXO1_40-3	HAP1_EXO1_40-5	HAP1_EXO1_40-6	HAP1_FANCC_27	HAP1_FANCC_27-1	HAP1_FANCC_27-11	HAP1_FANCC_27-3	HAP1_FANCC_27-4	HAP1_FANCC_27-5	HAP1_FANCC_27-6	HAP1_FANCC_27-8	HAP1_MSH6_30	HAP1_MSH6_30-16	HAP1_MSH6_30-18	HAP1_MSH6_30-2	HAP1_MSH6_30-4	HAP1_MSH6_30-5	HAP1_MSH6_30-6	HAP1_MSH6_30-9	HAP1_NEIL1_3	HAP1_NEIL1_3-2	HAP1_NEIL1_3-3	HAP1_NEIL1_3-4	HAP1_NEIL1_3-5	HAP1_NEIL1_3-6	HAP1_NEIL1_3-7	HAP1_NEIL1_3-8	HAP1_NUDT1_41	HAP1_NUDT1_41-1	HAP1_NUDT1_41-10	HAP1_NUDT1_41-11	HAP1_NUDT1_41-12	HAP1_NUDT1_41-2	HAP1_NUDT1_41-6	HAP1_NUDT1_41-8	HAP1_POLB_35	HAP1_POLB_35-1	HAP1_POLB_35-2	HAP1_POLB_35-3	HAP1_POLB_35-4	HAP1_POLB_35-5	HAP1_POLB_35-7	HAP1_POLB_35-9	HAP1_POLE_34	HAP1_POLE_34-10	HAP1_POLE_34-11	HAP1_POLE_34-2	HAP1_POLE_34-4	HAP1_POLE_34-7	HAP1_POLE_34-8	HAP1_POLE_34-9	HAP1_POLM_21	HAP1_POLM_21-11	HAP1_POLM_21-12	HAP1_POLM_21-2	HAP1_POLM_21-4	HAP1_POLM_21-8	HAP1_POLM_21-9	HAP1_POLM-21-10	indeltype
Complex	0	2	0	0	2	0	0	3	0	0	0	1	0	0	0	0	0	3	3	5	0	1	0	0	0	1	0	1	1	1	0	1	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	1	0	0	2	0	0	0	2	0	1	0	0	1	0	1	0	0	1	0	0	0	Complex
Ins_1	2	3	2	3	3	5	6	3	6	7	6	7	8	6	12	9	7	9	4	10	9	7	7	2	14	113	95	102	142	90	123	113	9	5	4	4	3	4	1	6	12	5	4	2	2	2	1	7	0	1	2	5	3	6	6	8	4	4	4	4	5	8	4	4	3	3	2	4	1	4	2	1	Insertion
Ins_2>=	1	2	4	1	1	2	6	1	0	2	4	0	1	3	2	2	0	3	1	4	2	5	3	0	2	9	12	12	11	7	8	14	0	3	2	2	0	0	1	4	1	1	2	5	1	3	1	3	3	2	2	2	1	4	0	2	1	1	1	1	0	0	3	0	0	0	2	0	2	1	2	1	Insertion
Microhomology-mediated_2	0	1	1	0	2	0	1	2	1	1	0	2	2	0	1	0	2	2	1	0	0	4	4	2	1	2	1	2	4	1	2	2	2	2	1	1	0	0	1	1	3	1	0	1	3	2	1	2	0	1	2	1	1	1	0	0	2	3	4	1	2	2	1	0	1	0	4	2	1	4	1	1	Microhomology-mediated
Microhomology-mediated_3>=	5	4	6	7	10	5	6	5	11	7	14	9	12	7	10	10	3	21	25	26	21	24	21	5	5	3	1	6	5	6	9	5	2	9	7	2	10	4	6	4	4	7	7	10	8	11	6	5	4	5	1	7	5	6	8	4	4	2	6	4	7	3	4	5	3	11	5	7	2	5	4	9	Microhomology-mediated
None	5	2	4	3	1	3	3	4	8	6	7	7	8	6	7	3	3	2	4	4	3	4	6	1	4	18	9	14	19	17	22	17	4	4	3	3	4	2	6	3	8	1	5	1	4	3	2	4	1	1	1	3	1	7	3	5	4	5	5	0	2	3	2	5	1	5	3	0	0	3	5	2	None
Repeat-mediated_1	30	33	37	22	37	26	26	27	60	48	53	70	59	59	80	56	29	53	48	47	59	58	39	13	71	812	572	765	979	673	826	846	27	44	36	34	30	38	35	20	61	24	17	39	29	25	24	37	31	27	28	20	34	22	25	36	20	27	27	22	28	35	25	27	14	22	15	26	20	27	29	21	Repeat-mediated
Repeat-mediated_2>=	8	12	8	4	9	12	10	10	13	5	4	9	7	10	10	7	2	6	12	5	13	12	9	7	5	28	22	21	37	22	27	21	6	8	10	6	7	6	9	2	11	5	5	6	6	8	3	9	9	11	8	4	4	9	6	10	4	5	7	6	8	7	6	10	8	13	5	9	6	5	11	6	Repeat-mediated
